,acaoDetalheId,uoCodigo,programaCod,acaoCod,microRegiao,deMicroRegiao,noQuadrimestre,ateQuadrimestre,noQuadrimestreFisRpnp,ateQuadrimestreFisRpnp,quantidadePpa,anoMonitoramento,quadrimestreMonitoramento,TipoDado,Ano,Quadrimestre
223,4752,19025,2024,4091,5,Região V,91,91,0,0,93,2024,1,Ação Físico,2024,1
224,4752,19025,2024,4091,6,Região VI,64,64,0,0,61,2024,1,Ação Físico,2024,1
225,4752,19025,2024,4091,7,Região VII,51,51,0,0,49,2024,1,Ação Físico,2024,1
226,4752,19025,2024,4091,8,Região VIII,69,69,0,0,64,2024,1,Ação Físico,2024,1
227,4752,19025,2024,4091,9,Região IX,26,26,0,0,28,2024,1,Ação Físico,2024,1
228,4752,19025,2024,4091,10,Região X,22,22,0,0,20,2024,1,Ação Físico,2024,1
229,4756,16031,1015,2087,1,Região I,,,,,3,2024,1,Ação Físico,2024,1
230,4757,13001,1015,2064,1,Região I,1,1,0,0,1,2024,1,Ação Físico,2024,1
231,4758,15001,1015,1490,7,Região VII,58,58,0,0,58,2024,1,Ação Físico,2024,1
232,4758,15001,1015,1490,9,Região IX,58,58,0,0,58,2024,1,Ação Físico,2024,1
233,4759,13001,1015,2091,1,Região I,221,221,0,0,228,2024,1,Ação Físico,2024,1
234,4760,11020,2148,2533,1,Região I,90,90,0,0,90,2024,1,Ação Físico,2024,1
235,4761,11004,1015,2091,1,Região I,35,35,0,0,35,2024,1,Ação Físico,2024,1
236,4762,19001,1015,2091,1,Região I,170,170,0,0,159,2024,1,Ação Físico,2024,1
237,4763,17032,1015,2234,1,Região I,174,174,0,0,187,2024,1,Ação Físico,2024,1
238,4763,17032,1015,2234,2,Região II,25,25,0,0,39,2024,1,Ação Físico,2024,1
239,4763,17032,1015,2234,3,Região III,9,9,0,0,10,2024,1,Ação Físico,2024,1
240,4763,17032,1015,2234,4,Região IV,3,3,0,0,8,2024,1,Ação Físico,2024,1
241,4763,17032,1015,2234,5,Região V,44,44,0,0,59,2024,1,Ação Físico,2024,1
242,4763,17032,1015,2234,6,Região VI,32,32,0,0,59,2024,1,Ação Físico,2024,1
243,4763,17032,1015,2234,7,Região VII,54,54,0,0,62,2024,1,Ação Físico,2024,1
244,4763,17032,1015,2234,8,Região VIII,23,23,0,0,40,2024,1,Ação Físico,2024,1
245,4763,17032,1015,2234,9,Região IX,3,3,0,0,4,2024,1,Ação Físico,2024,1
246,4763,17032,1015,2234,10,Região X,17,17,0,0,24,2024,1,Ação Físico,2024,1
